"raceKey","actualOrder","actualTrio","lowTicket","trifectaHit","trioGenerated","trioMeaningful","trioRank","candidateCount","purchaseTrioHit","mainTrioHit","coverTrioHit","thickTrioHit","sameThreeWrongOrder","category"
"20260912-53-2","1-7-8","1-7-8","false","false","true","false","54","52","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260912-46-2","4-3-5","3-4-5","true","false","true","true","14","20","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-53-3","3-1-5","1-3-5","true","false","true","false","40","1","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260912-46-3","5-7-3","3-5-7","false","false","true","true","20","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-53-4","2-3-7","2-3-7","false","false","true","true","4","84","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-46-4","2-6-3","2-3-6","true","false","true","false","4","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260912-53-5","1-5-2","1-2-5","false","false","true","true","6","83","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-53-6","8-2-7","2-7-8","true","false","true","false","14","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260912-53-7","5-7-9","5-7-9","false","false","true","true","62","83","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-46-7","4-2-7","2-4-7","false","false","true","true","7","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-53-9","7-2-5","2-5-7","false","false","true","true","3","83","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-46-10","6-5-3","3-5-6","false","false","true","true","3","3","true","true","false","false","true","B_TRIO_WOULD_HIT"
"20260912-53-11","7-2-8","2-7-8","false","false","true","true","29","48","true","false","true","false","true","B_TRIO_WOULD_HIT"
"20260912-85-1","4-1-5","1-4-5","true","false","true","false","9","1","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260912-85-2","7-1-3","1-3-7","false","false","true","false","14","4","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260912-34-2","5-1-6","1-5-6","false","false","true","true","8","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-53-12","9-1-7","1-7-9","true","true","true","true","1","2","true","true","false","false","false","A_TRIFECTA_HIT"
"20260912-85-3","4-1-3","1-3-4","true","false","true","false","3","2","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260912-34-3","1-5-2","1-2-5","true","false","true","false","7","4","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260912-85-4","3-5-7","3-5-7","true","false","true","true","2","2","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-34-4","3-1-2","1-2-3","true","false","true","false","3","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260912-85-5","7-6-1","1-6-7","false","false","true","false","19","5","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260912-34-5","1-4-2","1-2-4","true","false","true","false","10","1","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260912-85-6","1-7-5","1-5-7","false","false","true","true","11","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-34-6","4-6-2","2-4-6","true","false","true","false","10","1","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260912-85-7","4-5-1","1-4-5","false","false","true","true","9","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260912-34-7","4-5-6","4-5-6","true","false","true","false","30","1","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260912-85-8","7-2-5","2-5-7","true","false","true","false","28","1","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260912-85-9","1-2-3","1-2-3","true","false","true","false","9","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260912-34-9","7-3-2","2-3-7","false","false","true","true","1","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-13-6","5-6-2","2-5-6","false","false","true","false","5","4","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260916-86-7","2-7-3","2-3-7","false","false","true","true","4","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-13-7","5-7-3","3-5-7","true","false","true","true","1","4","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-86-8","5-3-6","3-5-6","false","false","true","true","34","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-13-8","3-5-4","3-4-5","true","false","true","true","1","3","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-86-9","4-1-2","1-2-4","true","false","true","false","6","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260916-86-10","1-2-6","1-2-6","true","false","true","true","20","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-13-10","3-7-1","1-3-7","false","false","true","true","3","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-86-11","4-2-1","1-2-4","true","false","true","false","2","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260916-13-11","1-4-2","1-2-4","false","false","true","true","8","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-86-12","7-3-4","3-4-7","false","false","true","true","30","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-12-1","2-1-6","1-2-6","false","false","true","false","11","3","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260916-37-1","1-5-2","1-2-5","true","false","true","false","7","2","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260916-37-2","5-3-2","2-3-5","true","false","true","false","4","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260916-37-3","1-4-3","1-3-4","false","false","true","true","12","33","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-37-4","3-1-6","1-3-6","true","false","true","false","12","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260916-12-5","5-1-4","1-4-5","true","false","true","true","13","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-37-5","4-3-1","1-3-4","true","false","true","false","4","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260916-37-6","1-4-7","1-4-7","true","false","true","false","15","4","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260916-37-7","2-1-3","1-2-3","false","false","true","true","1","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260916-37-8","1-3-2","1-2-3","true","false","true","true","1","3","true","true","false","true","true","B_TRIO_WOULD_HIT"
"20260916-12-9","3-6-1","1-3-6","true","false","true","false","14","2","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260916-37-9","2-4-3","2-3-4","true","false","true","false","5","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-84-1","5-4-1","1-4-5","false","true","true","true","1","20","true","true","true","false","false","A_TRIFECTA_HIT"
"20260917-73-1","2-5-1","1-2-5","false","false","true","true","11","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260917-84-2","5-1-2","1-2-5","false","false","true","true","1","3","true","true","false","true","true","B_TRIO_WOULD_HIT"
"20260917-84-3","2-7-3","2-3-7","true","false","true","true","3","32","true","true","false","true","true","B_TRIO_WOULD_HIT"
"20260917-84-4","4-3-1","1-3-4","true","false","true","true","2","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260917-84-5","2-4-6","2-4-6","false","false","true","false","15","5","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-73-5","5-1-4","1-4-5","true","false","true","false","4","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-84-6","5-1-4","1-4-5","false","true","true","true","2","3","true","true","true","false","false","A_TRIFECTA_HIT"
"20260917-73-6","2-4-7","2-4-7","true","true","true","true","1","1","true","true","false","true","false","A_TRIFECTA_HIT"
"20260917-84-7","7-3-4","3-4-7","false","false","true","true","9","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260917-63-1","2-7-1","1-2-7","false","false","true","true","3","13","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260917-28-1","4-5-6","4-5-6","true","false","true","false","25","1","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260917-63-2","1-7-4","1-4-7","false","true","true","true","9","10","true","false","true","false","false","A_TRIFECTA_HIT"
"20260917-63-3","7-1-2","1-2-7","true","false","true","false","12","1","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260917-63-5","3-4-1","1-3-4","false","false","true","true","11","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
